source_path,bytes,git_mode,git_blob,kind,collection,canonical_owner,incubation_home,canonical_home,disposition,merge_group,trust_class,sensitivity,confidence,duplicate_of,duplicate_action,flags,migration_state,provenance_state,exit_criteria,destination_evidence,deletion_approved_by,deletion_approved_at,notes
.staging/.github/agents/agentic-workflows.md,12446,100644,b824e60580e156949fa3442cdf3122a3b4a34a28,documentation,organization agent sources,aether,aether/.staging/library/organization/agents/agentic-workflows.md,aether/library/organization/agents/agentic-workflows.md,merge-with-canonical-agent-library,aether-organization-agents,staged-instruction,normal,high,,,,inventoried,preserved-in-git,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,Compare with evolved active agent material and preserve provenance before accepting supersession.
.staging/.github/agents/architect.agent.md,2128,100644,dba796e27aa9dd324bd6b72138afa933bf39df8a,agent,organization agent sources,aether,aether/.staging/library/organization/agents/architect.agent.md,aether/library/organization/agents/architect.agent.md,merge-with-canonical-agent-library,aether-organization-agents,staged-instruction,normal,high,,,,inventoried,preserved-in-git,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,Compare with evolved active agent material and preserve provenance before accepting supersession.
.staging/.github/agents/arxiv-publisher.agent.md,1985,100644,82482a1eda5ac96c698d6867d6fe739fcc14c1a8,agent,organization agent sources,aether,aether/.staging/library/organization/agents/arxiv-publisher.agent.md,aether/library/organization/agents/arxiv-publisher.agent.md,merge-with-canonical-agent-library,aether-organization-agents,staged-instruction,normal,high,,,,inventoried,preserved-in-git,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,Compare with evolved active agent material and preserve provenance before accepting supersession.
.staging/.github/agents/auditor.agent.md,2123,100644,1157468a7c070e288903b1c7136510afedd26cac,agent,organization agent sources,aether,aether/.staging/library/organization/agents/auditor.agent.md,aether/library/organization/agents/auditor.agent.md,merge-with-canonical-agent-library,aether-organization-agents,staged-instruction,normal,high,,,,inventoried,preserved-in-git,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,Compare with evolved active agent material and preserve provenance before accepting supersession.
.staging/.github/agents/awesome/CSharpExpert.agent.md,8607,100644,170d8f34cdeb4b4ff8d594d1cd5fe99d01b80253,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/CSharpExpert.agent.md,aether/library/community/awesome-copilot/agents/CSharpExpert.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/Thinking-Beast-Mode.agent.md,17947,100644,0ed201081a23625c18bd2cc149c97ab307757217,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/Thinking-Beast-Mode.agent.md,aether/library/community/awesome-copilot/agents/Thinking-Beast-Mode.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/Ultimate-Transparent-Thinking-Beast-Mode.agent.md,29019,100644,a71643b9dbef94826723ba659bbcbfb406748657,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/Ultimate-Transparent-Thinking-Beast-Mode.agent.md,aether/library/community/awesome-copilot/agents/Ultimate-Transparent-Thinking-Beast-Mode.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,prompt-override-content,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/WinFormsExpert.agent.md,26054,100644,dd834bf330d15074aac02b956a3a0bfa797d2852,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/WinFormsExpert.agent.md,aether/library/community/awesome-copilot/agents/WinFormsExpert.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/accessibility-runtime-tester.agent.md,5041,100644,ba789a0de55a2c59eda2a52b61c774288c1d9165,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/accessibility-runtime-tester.agent.md,aether/library/community/awesome-copilot/agents/accessibility-runtime-tester.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/accessibility.agent.md,12689,100644,10ec5d0e557c588fe0eaeb64093c80e0a1ae4166,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/accessibility.agent.md,aether/library/community/awesome-copilot/agents/accessibility.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/address-comments.agent.md,1530,100644,4090d5eaf7b6f80d781a4d0337e6dee7945a9310,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/address-comments.agent.md,aether/library/community/awesome-copilot/agents/address-comments.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/adr-generator.agent.md,6662,100644,c67998f747edfee178183c983d860c3c1e336f80,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/adr-generator.agent.md,aether/library/community/awesome-copilot/agents/adr-generator.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/aem-frontend-specialist.agent.md,20085,100644,1019cb9395068d6d74b8a5001a50a801ebb9f9fa,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/aem-frontend-specialist.agent.md,aether/library/community/awesome-copilot/agents/aem-frontend-specialist.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/agent-governance-reviewer.agent.md,2399,100644,1d3d80676271c53ad192e0c7205aec82f7f2a176,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/agent-governance-reviewer.agent.md,aether/library/community/awesome-copilot/agents/agent-governance-reviewer.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/ai-readiness-reporter.agent.md,14833,100644,d9441e0ba80744352af0ed027cf667051c84ff4a,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/ai-readiness-reporter.agent.md,aether/library/community/awesome-copilot/agents/ai-readiness-reporter.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/ai-team-dev.agent.md,3064,100644,7fa4142750188c7aa3f5fb0cde91ad9d8a772eff,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/ai-team-dev.agent.md,aether/library/community/awesome-copilot/agents/ai-team-dev.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/ai-team-producer.agent.md,2622,100644,2bf5dbf089798efa01c3e2a904441c65c09b8c1e,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/ai-team-producer.agent.md,aether/library/community/awesome-copilot/agents/ai-team-producer.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/ai-team-qa.agent.md,2794,100644,952f19e305c0a42f48c13c6fe5ddd62d3db853e2,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/ai-team-qa.agent.md,aether/library/community/awesome-copilot/agents/ai-team-qa.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/amplitude-experiment-implementation.agent.md,1863,100644,4fcedd823bdd4b58db02748a57f52b79a4c23ae4,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/amplitude-experiment-implementation.agent.md,aether/library/community/awesome-copilot/agents/amplitude-experiment-implementation.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/api-architect.agent.md,2547,100644,9d59a1af6738d4da9cceff67af5af80df529fd80,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/api-architect.agent.md,aether/library/community/awesome-copilot/agents/api-architect.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
.staging/.github/agents/awesome/apify-integration-expert.agent.md,7383,100644,458f6c957eecdc77d3e87b0fb3da518c434f01d9,agent,community Copilot agents,aether,aether/.staging/community/awesome-copilot/agents/apify-integration-expert.agent.md,aether/library/community/awesome-copilot/agents/apify-integration-expert.agent.md,quarantine-and-curate,aether-community-awesome-copilot,quarantined-instruction,restricted-review,high,,,,quarantined,needs-source-license-review,destination revision recorded; owner validation passes; provenance and license resolved; source removal approved separately,,,,"Preserve the upstream package boundary; verify provenance, license, prompt safety, and bundled executable behavior before any generated distribution can activate it."
